                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7717,                 8.1759,                      0,                 4.9112,                 3.0691,                 0.0625,                    0.6,                0.05338,                0.01289,                0.02083,                    0.2,                 0.0301,                0.00301,                 2.0362,                 7.5713,                      0,                 6.0568,                 2.2652,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.2279,                 7.9802,                      0,                 3.8658,                 2.3557,                0.29591,                    0.8,                0.44262,                0.20343,                0.00585,                    0.4,                0.00493,                0.00049,                 1.5432,                 7.5662,                      0,                 2.0919,                 1.7951,             0.00017911,             0.00017911,             0.00017911
                      3,                 1.7418,                 7.8327,                      0,                 1.9901,                 1.8898,                0.65571,                    0.8,                0.76924,                0.46303,                0.00227,                    0.2,                 0.0014,                0.00014,                 1.4274,                 7.7921,                      0,                 1.5982,                 1.6311,             0.00027723,             0.00027723,             0.00027723
                      4,                 1.5519,                 7.0221,                      0,                  1.612,                 1.6549,                 0.8917,                    0.8,                0.93786,                0.41591,                0.00381,                    0.2,                0.00497,                 0.0005,                 1.8958,                 7.5073,                      0,                 3.2395,                 2.0898,             0.00037436,             0.00037436,             0.00037436
                      5,                 1.5914,                 6.7654,                      0,                 1.5383,                  1.818,                0.39598,                      1,                0.46972,                0.24721,                0.00424,                    0.2,                0.00276,                0.00028,                 1.7788,                 7.0644,                      0,                 1.9564,                 2.1908,              0.0004705,              0.0004705,              0.0004705
                      6,                 1.8602,                 6.5527,                      0,                 1.5777,                 1.9565,                 0.7982,                0.79278,                  0.761,                0.32761,                      0,                      0,                      0,                      0,                 1.9845,                 6.8767,                      0,                  1.328,                 2.5792,             0.00056565,             0.00056565,             0.00056565
                      7,                 1.5007,                 6.4323,                      0,                   1.32,                 1.6887,                0.79734,                0.78935,                  0.855,                0.24086,                      0,                      0,                      0,                      0,                   2.27,                 6.3953,                      0,                 2.1033,                 2.9567,              0.0006598,              0.0006598,              0.0006598
                      8,                 1.5127,                 5.7555,                      0,                 1.2784,                  1.701,                0.61677,                      1,                0.75333,                0.40881,                      0,                      0,                      0,                      0,                 1.7452,                 6.1897,                      0,                 1.2991,                 2.1634,             0.00075297,             0.00075297,             0.00075297
                      9,                 1.5151,                 5.9561,                      0,                 1.2913,                 1.6695,                0.83064,                0.98383,                  0.895,                 0.3568,                0.01961,                    0.2,                0.02294,                0.00688,                 1.6069,                 5.6765,                      0,                 1.5714,                 1.9313,             0.00084515,             0.00084515,             0.00084515
                     10,                 1.4105,                  5.002,                      0,                 1.2242,                 1.6862,                0.67475,                0.83395,                0.85786,                0.31152,                0.40239,                    0.2,                0.11056,                0.01106,                 1.8881,                  5.504,                      0,                 1.5922,                 2.1312,             0.00093634,             0.00093634,             0.00093634
                     11,                 1.4754,                 5.0571,                      0,                 1.3253,                 1.6402,                0.82839,                0.97037,                0.92833,                0.37323,                0.22469,                    0.2,                 0.0742,                0.00742,                  2.288,                 5.3091,                      0,                 1.2826,                 2.4218,              0.0010265,              0.0010265,              0.0010265
                     12,                 1.4236,                 5.2376,                      0,                 1.2449,                 1.6583,                0.79552,                    0.8,                0.86167,                0.24448,                0.55199,                    0.4,                0.33802,                0.09423,                 2.6905,                  5.097,                      0,                 1.2319,                 2.9943,              0.0011157,              0.0011157,              0.0011157
